Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted
Sean Tucker,RB,Syracuse,5-9,207,,,,,,,
Tyjae Spears,RB,Tulane,5-10,201,,39.0,,125.0,,,
Bijan Robinson,RB,Texas,5-11,215,4.46,37.0,,124.0,,,
Keaton Mitchell,RB,East Carolina,5-8,179,4.37,38.0,,126.0,,,
Kendre Miller,RB,TCU,5-11,215,,,,,,,
Chris Rodriguez Jr.,RB,Kentucky,6-0,217,,,,,,,WSH/6/2023
Roschon Johnson,RB,Texas,6-0,219,4.58,31.5,,122.0,,,
Jahmyr Gibbs,RB,Alabama,5-9,199,4.36,33.5,,,,,
Zach Charbonnet,RB,UCLA,6-0,214,4.53,37.0,,122.0,,,
Chase Brown,RB,Illinois,5-10,209,4.43,40.0,,127.0,,,
Tank Bigsby,RB,Auburn,6-0,210,4.56,32.5,,119.0,,,
Devon Achane,RB,Texas A&M,5-9,188,4.32,33.0,,,,,
Michael Wilson,WR,Stanford,6-2,213,4.58,37.5,23.0,125.0,,4.27,ARI/3/2023
Dontayvion Wicks,WR,Virginia,6-1,206,4.62,39.0,,130.0,,,
Parker Washington,WR,Penn St.,5-10,204,,,16.0,,,,
Tre Tucker,WR,Cincinnati,5-9,182,4.4,37.5,,124.0,,,
Cedric Tillman,WR,Tennessee,6-3,213,4.54,37.0,,128.0,,,
Jaxon Smith-Njigba,WR,Ohio St.,6-1,196,,35.0,,125.0,6.57,3.93,
Rashee Rice,WR,SMU,6-1,204,4.51,41.0,,128.0,,,
Jayden Reed,WR,Michigan St.,5-11,187,4.45,33.5,,121.0,,4.29,
Puka Nacua,WR,BYU,6-2,201,,,,,,,LAR/5/2023
Jonathan Mingo,WR,Mississippi,6-2,220,4.46,39.5,22.0,129.0,,,
Marvin Mims,WR,Oklahoma,5-11,183,4.38,39.5,,129.0,6.9,,
Quentin Johnston,WR,TCU,6-3,208,,40.5,,134.0,,,
Jalin Hyatt,WR,Tennessee,6-0,176,4.4,40.0,,135.0,,,
Zay Flowers,WR,Boston Col.,5-9,182,4.42,35.5,,127.0,,,
Josh Downs,WR,North Carolina,5-9,171,4.48,38.5,,131.0,,,
Demario Douglas,WR,Liberty,5-8,179,4.44,39.5,,134.0,,4.29,
Nathaniel Dell,WR,Houston,5-8,165,4.49,,,121.0,,,
Kayshon Boutte,WR,LSU,5-11,195,4.5,29.0,,118.0,,4.25,
Jordan Addison,WR,USC,5-11,173,4.49,34.0,,122.0,,,
