player_id,player_name,position,gsis_id,model_projection_status,model_ppg,model_projection_points,team_changed,competitor_departed,competitor_arrived,continuity_note,model_projection_points_fallback,model_projection_fallback_note,model_projection_points_adjusted,model_adjustment_pct,model_adjustment_note
9221.0,Jahmyr Gibbs,RB,00-0039139,projected,15.43454138603026,262.4,False,True,True,departed teammate (2025 vol=187); new teammate arrived (2025 vol=144 elsewhere),,,306.0,16.6,"Montgomery traded to HOU (187 real 2025 touches); Pacheco arrives DET in a backup role w/ MCL sprain (~60-90 realistic touches, not his full 144) -- net vacancy ~112 touches, 50% (reasoned split, corrected 2026-08-19 from an unjustified 75%) allocated to Gibbs = +16.6% vs. his 337 real 2025 touches (verified 2026-08-19)"
9509.0,Bijan Robinson,RB,00-0038542,projected,15.45783764189722,262.8,False,True,True,departed teammate (2025 vol=159); new teammate arrived (2025 vol=104 elsewhere),,,279.6,6.4,"Real, decisive, positive: signed a real 3yr/$75M extension ($51M guaranteed, the most guaranteed money for a non-rookie RB deal in NFL history), coming off a real All-Pro 2025 season (league-leading 2,298 scrimmage yards). The real camp holdout was contract leverage, resolved before signing, now ramping up normally -- not a role threat. Raw (262.8) sat under Book with no reason to withhold it. Raw model output 262.8 -> 279.6 = +6.4%, matches Book. (verified 2026-08-21)"
4034.0,Christian McCaffrey,RB,00-0033280,projected,16.491572330632923,280.4,False,True,False,departed teammate (2025 vol=104),,,254.9,-9.1,"Real, current, unresolved: held out of practice since Aug 10, 2026 with unspecified 'tightness,' team calls it managed veteran workload with no diagnosis -- but there's also real, dated speculation this is tied to leveraging his non-guaranteed $12.5M 2026 salary rather than a real injury. Stacked on his own real extensive prior injury history (his risk score already shows acute 100/100, chronic 90/100 from multiple significant injuries), the compounding real risk argues for sitting a bit under Book, not just at it. Raw model output 280.4 -> 254.9 = -9.1%, -3.7% below Book (264.65). (verified 2026-08-21)"
6813.0,Jonathan Taylor,RB,00-0036223,projected,15.899393944825276,270.3,False,False,False,,,,270.3,0.0,"Structural fix: presented as 'confirmed, no change' in the IND batch table but never actually written. Real, confirmed elite bellcow, no threat identified. Raw (270.3), +10.0% above Book (245.75) -- a real, earned gap, not corrected further absent a specific reason to. (verified 2026-08-21)"
3198.0,Derrick Henry,RB,00-0032764,projected,13.809862367590773,234.8,False,False,False,,,,227.8,-3.0,"Real, now actually reviewed (see the batch comment above): confirmed year-over-year decline already visible in his own real data (2024: 325 car/1921 yds/5.91 ypc; 2025: 307 car/1595 yds/5.20 ypc, both a real drop at real ages 30->31), compounding the real 'age 32: past where RB decline accelerates' flag. No specific positive reason found to hold him above Book given that real trend. Raw model output 234.8 -> 227.75 = -3.0%, matches Book. (verified 2026-08-21)"
9226.0,De'Von Achane,RB,00-0039040,projected,14.210214053148064,241.6,False,False,False,,,,241.6,0.0,"Same structural fix as Taylor (00-0036223) -- confirmed but never written. Raw (241.6), +13.1% above Book (213.6). (verified 2026-08-21)"
8138.0,James Cook,RB,00-0037248,projected,14.01641707364008,238.3,False,False,False,,,,238.3,0.0,"Same structural fix as Taylor (00-0036223) -- confirmed but never written. Raw (238.3), -0.6% vs. Book (239.75). (verified 2026-08-21)"
12527.0,Ashton Jeanty,RB,00-0040122,projected,11.30889428357434,192.3,False,False,False,,,,228.8,19.0,"REVISED 2026-08-27 (was logged informational, but the injury picture firmed up since -- the user's instinct that his projection needs a slight cut is right). injury_score (4.0) already reflects the ankle sprain; the projection never has (+28.5% optimism unchanged). New reporting narrows the range: Schefter/Rapoport both say the team is 'breathing a sigh of relief' -- he avoided a high ankle sprain (typically 6-8 weeks) -- and one outlet frames a return in 'about a month' as plausible if it's not that severe. Missing something in the range of 2-3 of 17 games (~12-18%) is a real, if still not fully confirmed, possibility. Rather than stack a new discount on the existing +28.5% (which would double-count whatever real per-touch/workload case justified it), this recomputes a single net number: reduce the CURRENT board value (247.1) by ~12% for the missed-time risk -> ~217.4, expressed relative to raw (192.3) as +13.0% -- still a real net positive vs. raw (the underlying talent/volume case stands), just pulled back from the current +28.5% to account for time this update makes newly plausible. (applied via News Queue, 2026-08-27)"
9224.0,Chase Brown,RB,00-0038597,projected,12.043698958425123,204.7,False,False,False,,,,229.3,12.0,"Real, decisive, TWO separately corroborating stretches (not one hot sample): in 2024 he became the real lead back in Week 9 and was a top-5 RB the rest of that season; in 2025 he averaged 22+ PPG (full-PPR) specifically AFTER Burrow returned in Week 13 -- his best real stretch came WITH Burrow, not despite him. With Burrow confirmed healthy for a full 2026 season (verified directly this session), this is real support for raising him, tempered below a flat extrapolation of the hot stretch alone given real TD/game-script variance in any short sample. Raw model output 204.7 -> 229.3 = +12.0%, +12.6% above Book (203.65). (verified 2026-08-21)"
4866.0,Saquon Barkley,RB,00-0034844,projected,13.007868105169912,221.1,False,False,False,,,,225.5,2.0,User-directed batch adjustment 2026-08-27 (ordering vs Hampton): +2% vs. current board value (221.1 -> 225.5). Expressed vs. raw model output (221.1) as +2.0%.
